,Overall rank,Country or region,Score,2018,Area,Item,Year,Unit,Value
15,6,Netherlands,7.441,23520.6,Netherlands,Average supply of protein of animal origin (g/cap/day) (3-year average),2016-2018,g/capita/day,68.3
16,6,Netherlands,7.441,23520.6,Netherlands,Rail lines density (total route in km per 100 square km of land area),2018,per 100 square km of land area,7.7
17,6,Netherlands,7.441,23520.6,Netherlands,"Gross domestic product per capita, PPP, dissemination (constant 2011 international $)",2016,I$,53847.8
18,6,Netherlands,7.441,23520.6,Netherlands,"Gross domestic product per capita, PPP, dissemination (constant 2011 international $)",2017,I$,55088.6
19,6,Netherlands,7.441,23520.6,Netherlands,"Gross domestic product per capita, PPP, dissemination (constant 2011 international $)",2018,I$,56060.9
20,6,Netherlands,7.441,23520.6,Netherlands,"Gross domestic product per capita, PPP, dissemination (constant 2011 international $)",2019,I$,56629.1
21,6,Netherlands,7.441,23520.6,Netherlands,"Gross domestic product per capita, PPP, dissemination (constant 2011 international $)",2020,I$,54209.6
22,6,Netherlands,7.441,23520.6,Netherlands,Prevalence of undernourishment (percent) (3-year average),2015-2017,%,<2.5
23,6,Netherlands,7.441,23520.6,Netherlands,Prevalence of undernourishment (percent) (3-year average),2016-2018,%,<2.5
24,6,Netherlands,7.441,23520.6,Netherlands,Prevalence of undernourishment (percent) (3-year average),2017-2019,%,<2.5
25,6,Netherlands,7.441,23520.6,Netherlands,Prevalence of undernourishment (percent) (3-year average),2018-2020,%,<2.5
26,6,Netherlands,7.441,23520.6,Netherlands,Number of people undernourished (million) (3-year average),2015-2017,millions,
27,6,Netherlands,7.441,23520.6,Netherlands,Number of people undernourished (million) (3-year average),2016-2018,millions,
28,6,Netherlands,7.441,23520.6,Netherlands,Number of people undernourished (million) (3-year average),2017-2019,millions,
29,6,Netherlands,7.441,23520.6,Netherlands,Number of people undernourished (million) (3-year average),2018-2020,millions,
30,6,Netherlands,7.441,23520.6,Netherlands,Prevalence of severe food insecurity in the total population (percent) (3-year average),2015-2017,%,1.7
31,6,Netherlands,7.441,23520.6,Netherlands,Prevalence of severe food insecurity in the total population (percent) (3-year average),2016-2018,%,1.5
32,6,Netherlands,7.441,23520.6,Netherlands,Prevalence of severe food insecurity in the total population (percent) (3-year average),2017-2019,%,1.7
33,6,Netherlands,7.441,23520.6,Netherlands,Prevalence of severe food insecurity in the total population (percent) (3-year average),2018-2020,%,1.4
34,6,Netherlands,7.441,23520.6,Netherlands,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2015-2017,%,5.5
35,6,Netherlands,7.441,23520.6,Netherlands,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2016-2018,%,5.1
36,6,Netherlands,7.441,23520.6,Netherlands,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2017-2019,%,5.1
37,6,Netherlands,7.441,23520.6,Netherlands,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2018-2020,%,4.7
38,6,Netherlands,7.441,23520.6,Netherlands,Number of severely food insecure people (million) (3-year average),2015-2017,millions,0.3
39,6,Netherlands,7.441,23520.6,Netherlands,Number of severely food insecure people (million) (3-year average),2016-2018,millions,0.3
40,6,Netherlands,7.441,23520.6,Netherlands,Number of severely food insecure people (million) (3-year average),2017-2019,millions,0.3
41,6,Netherlands,7.441,23520.6,Netherlands,Number of severely food insecure people (million) (3-year average),2018-2020,millions,0.2
42,6,Netherlands,7.441,23520.6,Netherlands,Number of moderately or severely food insecure people (million) (3-year average),2015-2017,millions,0.9
43,6,Netherlands,7.441,23520.6,Netherlands,Number of moderately or severely food insecure people (million) (3-year average),2016-2018,millions,0.9
44,6,Netherlands,7.441,23520.6,Netherlands,Number of moderately or severely food insecure people (million) (3-year average),2017-2019,millions,0.9
45,6,Netherlands,7.441,23520.6,Netherlands,Number of moderately or severely food insecure people (million) (3-year average),2018-2020,millions,0.8
46,6,Netherlands,7.441,23520.6,Netherlands,Cereal import dependency ratio (percent) (3-year average),2015-2017,%,84.3
47,6,Netherlands,7.441,23520.6,Netherlands,Cereal import dependency ratio (percent) (3-year average),2016-2018,%,85.1
48,6,Netherlands,7.441,23520.6,Netherlands,Percent of arable land equipped for irrigation (percent) (3-year average),2015-2017,%,50.2
49,6,Netherlands,7.441,23520.6,Netherlands,Percent of arable land equipped for irrigation (percent) (3-year average),2016-2018,%,50.7
50,6,Netherlands,7.441,23520.6,Netherlands,Value of food imports in total merchandise exports (percent) (3-year average),2015-2017,%,8
51,6,Netherlands,7.441,23520.6,Netherlands,Value of food imports in total merchandise exports (percent) (3-year average),2016-2018,%,8
52,6,Netherlands,7.441,23520.6,Netherlands,Value of food imports in total merchandise exports (percent) (3-year average),2017-2019,%,8
53,6,Netherlands,7.441,23520.6,Netherlands,Political stability and absence of violence/terrorism (index),2016,index,0.91
54,6,Netherlands,7.441,23520.6,Netherlands,Political stability and absence of violence/terrorism (index),2017,index,0.92
55,6,Netherlands,7.441,23520.6,Netherlands,Political stability and absence of violence/terrorism (index),2018,index,0.86
56,6,Netherlands,7.441,23520.6,Netherlands,Political stability and absence of violence/terrorism (index),2019,index,0.86
57,6,Netherlands,7.441,23520.6,Netherlands,Per capita food production variability (constant 2004-2006 thousand int$ per capita),2016,1000 I$,20.9
58,6,Netherlands,7.441,23520.6,Netherlands,Per capita food production variability (constant 2004-2006 thousand int$ per capita),2017,1000 I$,12.4
59,6,Netherlands,7.441,23520.6,Netherlands,Per capita food supply variability (kcal/cap/day),2016,kcal/capita/day,6
60,6,Netherlands,7.441,23520.6,Netherlands,Per capita food supply variability (kcal/cap/day),2017,kcal/capita/day,10
61,6,Netherlands,7.441,23520.6,Netherlands,Per capita food supply variability (kcal/cap/day),2018,kcal/capita/day,9
62,6,Netherlands,7.441,23520.6,Netherlands,Per capita food supply variability (kcal/cap/day),2019,kcal/capita/day,8
63,6,Netherlands,7.441,23520.6,Netherlands,Percentage of population using safely managed drinking water services (Percent),2016,%,99
64,6,Netherlands,7.441,23520.6,Netherlands,Percentage of population using safely managed drinking water services (Percent),2017,%,99
65,6,Netherlands,7.441,23520.6,Netherlands,Percentage of population using safely managed drinking water services (Percent),2018,%,99
66,6,Netherlands,7.441,23520.6,Netherlands,Percentage of population using safely managed drinking water services (Percent),2019,%,99
67,6,Netherlands,7.441,23520.6,Netherlands,Percentage of population using safely managed drinking water services (Percent),2020,%,99
68,6,Netherlands,7.441,23520.6,Netherlands,Percentage of population using at least basic drinking water services (percent),2016,%,99
69,6,Netherlands,7.441,23520.6,Netherlands,Percentage of population using at least basic drinking water services (percent),2017,%,99
70,6,Netherlands,7.441,23520.6,Netherlands,Percentage of population using at least basic drinking water services (percent),2018,%,99
71,6,Netherlands,7.441,23520.6,Netherlands,Percentage of population using at least basic drinking water services (percent),2019,%,99
72,6,Netherlands,7.441,23520.6,Netherlands,Percentage of population using at least basic drinking water services (percent),2020,%,99
73,6,Netherlands,7.441,23520.6,Netherlands,Percentage of population using safely managed sanitation services (Percent),2016,%,97.5
74,6,Netherlands,7.441,23520.6,Netherlands,Percentage of population using safely managed sanitation services (Percent),2017,%,97.5
75,6,Netherlands,7.441,23520.6,Netherlands,Percentage of population using safely managed sanitation services (Percent),2018,%,97.5
76,6,Netherlands,7.441,23520.6,Netherlands,Percentage of population using safely managed sanitation services (Percent),2019,%,97.5
77,6,Netherlands,7.441,23520.6,Netherlands,Percentage of population using safely managed sanitation services (Percent),2020,%,97.5
78,6,Netherlands,7.441,23520.6,Netherlands,Percentage of population using at least basic sanitation services (percent),2016,%,97.7
79,6,Netherlands,7.441,23520.6,Netherlands,Percentage of population using at least basic sanitation services (percent),2017,%,97.7
80,6,Netherlands,7.441,23520.6,Netherlands,Percentage of population using at least basic sanitation services (percent),2018,%,97.7
81,6,Netherlands,7.441,23520.6,Netherlands,Percentage of population using at least basic sanitation services (percent),2019,%,97.7
82,6,Netherlands,7.441,23520.6,Netherlands,Percentage of population using at least basic sanitation services (percent),2020,%,97.7
83,6,Netherlands,7.441,23520.6,Netherlands,Percentage of children under 5 years of age who are stunted (modelled estimates) (percent),2016,%,1.5
84,6,Netherlands,7.441,23520.6,Netherlands,Percentage of children under 5 years of age who are stunted (modelled estimates) (percent),2017,%,1.5
85,6,Netherlands,7.441,23520.6,Netherlands,Percentage of children under 5 years of age who are stunted (modelled estimates) (percent),2018,%,1.6
86,6,Netherlands,7.441,23520.6,Netherlands,Percentage of children under 5 years of age who are stunted (modelled estimates) (percent),2019,%,1.6
87,6,Netherlands,7.441,23520.6,Netherlands,Percentage of children under 5 years of age who are stunted (modelled estimates) (percent),2020,%,1.6
88,6,Netherlands,7.441,23520.6,Netherlands,Percentage of children under 5 years of age who are overweight (modelled estimates) (percent),2016,%,4.5
89,6,Netherlands,7.441,23520.6,Netherlands,Percentage of children under 5 years of age who are overweight (modelled estimates) (percent),2017,%,4.7
90,6,Netherlands,7.441,23520.6,Netherlands,Percentage of children under 5 years of age who are overweight (modelled estimates) (percent),2018,%,4.8
91,6,Netherlands,7.441,23520.6,Netherlands,Percentage of children under 5 years of age who are overweight (modelled estimates) (percent),2019,%,4.9
92,6,Netherlands,7.441,23520.6,Netherlands,Percentage of children under 5 years of age who are overweight (modelled estimates) (percent),2020,%,5
93,6,Netherlands,7.441,23520.6,Netherlands,Prevalence of obesity in the adult population (18 years and older),2016,%,20.4
94,6,Netherlands,7.441,23520.6,Netherlands,Prevalence of anemia among women of reproductive age (15-49 years),2016,%,11.9
95,6,Netherlands,7.441,23520.6,Netherlands,Prevalence of anemia among women of reproductive age (15-49 years),2017,%,12.2
96,6,Netherlands,7.441,23520.6,Netherlands,Prevalence of anemia among women of reproductive age (15-49 years),2018,%,12.5
97,6,Netherlands,7.441,23520.6,Netherlands,Prevalence of anemia among women of reproductive age (15-49 years),2019,%,12.8
98,6,Netherlands,7.441,23520.6,Netherlands,Minimum dietary energy requirement  (kcal/cap/day),2016,kcal/capita/day,1971
99,6,Netherlands,7.441,23520.6,Netherlands,Minimum dietary energy requirement  (kcal/cap/day),2017,kcal/capita/day,1971
100,6,Netherlands,7.441,23520.6,Netherlands,Minimum dietary energy requirement  (kcal/cap/day),2018,kcal/capita/day,1972
101,6,Netherlands,7.441,23520.6,Netherlands,Minimum dietary energy requirement  (kcal/cap/day),2019,kcal/capita/day,1972
102,6,Netherlands,7.441,23520.6,Netherlands,Minimum dietary energy requirement  (kcal/cap/day),2020,kcal/capita/day,1971
103,6,Netherlands,7.441,23520.6,Netherlands,Average dietary energy requirement (kcal/cap/day),2016,kcal/capita/day,2576
104,6,Netherlands,7.441,23520.6,Netherlands,Average dietary energy requirement (kcal/cap/day),2017,kcal/capita/day,2577
105,6,Netherlands,7.441,23520.6,Netherlands,Average dietary energy requirement (kcal/cap/day),2018,kcal/capita/day,2577
106,6,Netherlands,7.441,23520.6,Netherlands,Average dietary energy requirement (kcal/cap/day),2019,kcal/capita/day,2578
107,6,Netherlands,7.441,23520.6,Netherlands,Average dietary energy requirement (kcal/cap/day),2020,kcal/capita/day,2577
108,6,Netherlands,7.441,23520.6,Netherlands,Coefficient of variation of habitual caloric consumption distribution (real number),2016,Number,0.2
109,6,Netherlands,7.441,23520.6,Netherlands,Coefficient of variation of habitual caloric consumption distribution (real number),2017,Number,0.2
110,6,Netherlands,7.441,23520.6,Netherlands,Coefficient of variation of habitual caloric consumption distribution (real number),2018,Number,0.2
111,6,Netherlands,7.441,23520.6,Netherlands,Coefficient of variation of habitual caloric consumption distribution (real number),2019,Number,0.2
112,6,Netherlands,7.441,23520.6,Netherlands,Coefficient of variation of habitual caloric consumption distribution (real number),2020,Number,0.2
113,6,Netherlands,7.441,23520.6,Netherlands,Incidence of caloric losses at retail distribution level (percent),2016,%,2.32
114,6,Netherlands,7.441,23520.6,Netherlands,Incidence of caloric losses at retail distribution level (percent),2017,%,2.32
115,6,Netherlands,7.441,23520.6,Netherlands,Incidence of caloric losses at retail distribution level (percent),2018,%,2.32
116,6,Netherlands,7.441,23520.6,Netherlands,Incidence of caloric losses at retail distribution level (percent),2019,%,2.32
117,6,Netherlands,7.441,23520.6,Netherlands,Incidence of caloric losses at retail distribution level (percent),2020,%,2.32
118,6,Netherlands,7.441,23520.6,Netherlands,Average fat supply (g/cap/day) (3-year average),2015-2017,g/capita/day,128
119,6,Netherlands,7.441,23520.6,Netherlands,Average fat supply (g/cap/day) (3-year average),2016-2018,g/capita/day,132
120,7,Canada,7.328,19811.1,Canada,Average dietary energy supply adequacy (percent) (3-year average),2015-2017,%,138
121,7,Canada,7.328,19811.1,Canada,Average dietary energy supply adequacy (percent) (3-year average),2016-2018,%,141
122,7,Canada,7.328,19811.1,Canada,Average dietary energy supply adequacy (percent) (3-year average),2017-2019,%,143
123,7,Canada,7.328,19811.1,Canada,Average dietary energy supply adequacy (percent) (3-year average),2018-2020,%,145
124,7,Canada,7.328,19811.1,Canada,Average value of food production (constant 2004-2006 I$/cap) (3-year average),2015-2017,I$ per person,497
125,7,Canada,7.328,19811.1,Canada,Average value of food production (constant 2004-2006 I$/cap) (3-year average),2016-2018,I$ per person,250
126,7,Canada,7.328,19811.1,Canada,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),2015-2017,kcal/capita/day,3472
127,7,Canada,7.328,19811.1,Canada,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),2016-2018,kcal/capita/day,3521
128,7,Canada,7.328,19811.1,Canada,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),2017-2019,kcal/capita/day,3570
129,7,Canada,7.328,19811.1,Canada,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),2018-2020,kcal/capita/day,3623
130,7,Canada,7.328,19811.1,Canada,"Share of dietary energy supply derived from cereals, roots and tubers (kcal/cap/day) (3-year average)",2015-2017,%,27
131,7,Canada,7.328,19811.1,Canada,"Share of dietary energy supply derived from cereals, roots and tubers (kcal/cap/day) (3-year average)",2016-2018,%,27
132,7,Canada,7.328,19811.1,Canada,Average protein supply (g/cap/day) (3-year average),2015-2017,g/capita/day,101
133,7,Canada,7.328,19811.1,Canada,Average protein supply (g/cap/day) (3-year average),2016-2018,g/capita/day,103.3
134,7,Canada,7.328,19811.1,Canada,Average supply of protein of animal origin (g/cap/day) (3-year average),2015-2017,g/capita/day,54.7
135,7,Canada,7.328,19811.1,Canada,Average supply of protein of animal origin (g/cap/day) (3-year average),2016-2018,g/capita/day,55
136,7,Canada,7.328,19811.1,Canada,Rail lines density (total route in km per 100 square km of land area),2016,per 100 square km of land area,0.5
137,7,Canada,7.328,19811.1,Canada,Rail lines density (total route in km per 100 square km of land area),2017,per 100 square km of land area,0.5
138,7,Canada,7.328,19811.1,Canada,Rail lines density (total route in km per 100 square km of land area),2018,per 100 square km of land area,0.5
139,7,Canada,7.328,19811.1,Canada,"Gross domestic product per capita, PPP, dissemination (constant 2011 international $)",2016,I$,47457.6
140,7,Canada,7.328,19811.1,Canada,"Gross domestic product per capita, PPP, dissemination (constant 2011 international $)",2017,I$,48317.1
141,7,Canada,7.328,19811.1,Canada,"Gross domestic product per capita, PPP, dissemination (constant 2011 international $)",2018,I$,48796.8
142,7,Canada,7.328,19811.1,Canada,"Gross domestic product per capita, PPP, dissemination (constant 2011 international $)",2019,I$,49006.7
143,7,Canada,7.328,19811.1,Canada,"Gross domestic product per capita, PPP, dissemination (constant 2011 international $)",2020,I$,45856.6
144,7,Canada,7.328,19811.1,Canada,Prevalence of undernourishment (percent) (3-year average),2015-2017,%,<2.5
145,7,Canada,7.328,19811.1,Canada,Prevalence of undernourishment (percent) (3-year average),2016-2018,%,<2.5
146,7,Canada,7.328,19811.1,Canada,Prevalence of undernourishment (percent) (3-year average),2017-2019,%,<2.5
147,7,Canada,7.328,19811.1,Canada,Prevalence of undernourishment (percent) (3-year average),2018-2020,%,<2.5
148,7,Canada,7.328,19811.1,Canada,Number of people undernourished (million) (3-year average),2015-2017,millions,
149,7,Canada,7.328,19811.1,Canada,Number of people undernourished (million) (3-year average),2016-2018,millions,
150,7,Canada,7.328,19811.1,Canada,Number of people undernourished (million) (3-year average),2017-2019,millions,
151,7,Canada,7.328,19811.1,Canada,Number of people undernourished (million) (3-year average),2018-2020,millions,
152,7,Canada,7.328,19811.1,Canada,Prevalence of severe food insecurity in the total population (percent) (3-year average),2015-2017,%,0.6
153,7,Canada,7.328,19811.1,Canada,Prevalence of severe food insecurity in the total population (percent) (3-year average),2016-2018,%,0.6
154,7,Canada,7.328,19811.1,Canada,Prevalence of severe food insecurity in the total population (percent) (3-year average),2017-2019,%,0.7
155,7,Canada,7.328,19811.1,Canada,Prevalence of severe food insecurity in the total population (percent) (3-year average),2018-2020,%,0.9
156,7,Canada,7.328,19811.1,Canada,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2015-2017,%,5
157,7,Canada,7.328,19811.1,Canada,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2016-2018,%,5
158,7,Canada,7.328,19811.1,Canada,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2017-2019,%,5.1
159,7,Canada,7.328,19811.1,Canada,Prevalence of moderate or severe food insecurity in the total population (percent) (3-year average),2018-2020,%,5.8
160,7,Canada,7.328,19811.1,Canada,Number of severely food insecure people (million) (3-year average),2015-2017,millions,0.2
161,7,Canada,7.328,19811.1,Canada,Number of severely food insecure people (million) (3-year average),2016-2018,millions,0.2
162,7,Canada,7.328,19811.1,Canada,Number of severely food insecure people (million) (3-year average),2017-2019,millions,0.3
163,7,Canada,7.328,19811.1,Canada,Number of severely food insecure people (million) (3-year average),2018-2020,millions,0.3
164,7,Canada,7.328,19811.1,Canada,Number of moderately or severely food insecure people (million) (3-year average),2015-2017,millions,1.8
165,7,Canada,7.328,19811.1,Canada,Number of moderately or severely food insecure people (million) (3-year average),2016-2018,millions,1.8
166,7,Canada,7.328,19811.1,Canada,Number of moderately or severely food insecure people (million) (3-year average),2017-2019,millions,1.9
167,7,Canada,7.328,19811.1,Canada,Number of moderately or severely food insecure people (million) (3-year average),2018-2020,millions,2.2
168,7,Canada,7.328,19811.1,Canada,Cereal import dependency ratio (percent) (3-year average),2015-2017,%,-84
169,7,Canada,7.328,19811.1,Canada,Cereal import dependency ratio (percent) (3-year average),2016-2018,%,-80.6
170,7,Canada,7.328,19811.1,Canada,Percent of arable land equipped for irrigation (percent) (3-year average),2015-2017,%,3.4
171,7,Canada,7.328,19811.1,Canada,Percent of arable land equipped for irrigation (percent) (3-year average),2016-2018,%,3.6
172,7,Canada,7.328,19811.1,Canada,Value of food imports in total merchandise exports (percent) (3-year average),2015-2017,%,7
173,7,Canada,7.328,19811.1,Canada,Value of food imports in total merchandise exports (percent) (3-year average),2016-2018,%,7
174,7,Canada,7.328,19811.1,Canada,Value of food imports in total merchandise exports (percent) (3-year average),2017-2019,%,7
175,7,Canada,7.328,19811.1,Canada,Political stability and absence of violence/terrorism (index),2016,index,1.26
176,7,Canada,7.328,19811.1,Canada,Political stability and absence of violence/terrorism (index),2017,index,1.1
177,7,Canada,7.328,19811.1,Canada,Political stability and absence of violence/terrorism (index),2018,index,0.99
178,7,Canada,7.328,19811.1,Canada,Political stability and absence of violence/terrorism (index),2019,index,1.03
179,7,Canada,7.328,19811.1,Canada,Per capita food production variability (constant 2004-2006 thousand int$ per capita),2016,1000 I$,27.3
180,7,Canada,7.328,19811.1,Canada,Per capita food production variability (constant 2004-2006 thousand int$ per capita),2017,1000 I$,27.5
181,7,Canada,7.328,19811.1,Canada,Per capita food supply variability (kcal/cap/day),2016,kcal/capita/day,34
182,7,Canada,7.328,19811.1,Canada,Per capita food supply variability (kcal/cap/day),2017,kcal/capita/day,39
183,7,Canada,7.328,19811.1,Canada,Per capita food supply variability (kcal/cap/day),2018,kcal/capita/day,44
184,7,Canada,7.328,19811.1,Canada,Per capita food supply variability (kcal/cap/day),2019,kcal/capita/day,68
185,7,Canada,7.328,19811.1,Canada,Percentage of population using safely managed drinking water services (Percent),2016,%,98.9
186,7,Canada,7.328,19811.1,Canada,Percentage of population using safely managed drinking water services (Percent),2017,%,98.9
187,7,Canada,7.328,19811.1,Canada,Percentage of population using safely managed drinking water services (Percent),2018,%,99
188,7,Canada,7.328,19811.1,Canada,Percentage of population using safely managed drinking water services (Percent),2019,%,99
189,7,Canada,7.328,19811.1,Canada,Percentage of population using safely managed drinking water services (Percent),2020,%,99
190,7,Canada,7.328,19811.1,Canada,Percentage of population using at least basic drinking water services (percent),2016,%,99
191,7,Canada,7.328,19811.1,Canada,Percentage of population using at least basic drinking water services (percent),2017,%,99
192,7,Canada,7.328,19811.1,Canada,Percentage of population using at least basic drinking water services (percent),2018,%,99
193,7,Canada,7.328,19811.1,Canada,Percentage of population using at least basic drinking water services (percent),2019,%,99
194,7,Canada,7.328,19811.1,Canada,Percentage of population using at least basic drinking water services (percent),2020,%,99
195,7,Canada,7.328,19811.1,Canada,Percentage of population using safely managed sanitation services (Percent),2016,%,83.2
196,7,Canada,7.328,19811.1,Canada,Percentage of population using safely managed sanitation services (Percent),2017,%,83.6
197,7,Canada,7.328,19811.1,Canada,Percentage of population using safely managed sanitation services (Percent),2018,%,84
198,7,Canada,7.328,19811.1,Canada,Percentage of population using safely managed sanitation services (Percent),2019,%,84.4
199,7,Canada,7.328,19811.1,Canada,Percentage of population using safely managed sanitation services (Percent),2020,%,84.4
200,7,Canada,7.328,19811.1,Canada,Percentage of population using at least basic sanitation services (percent),2016,%,99
201,7,Canada,7.328,19811.1,Canada,Percentage of population using at least basic sanitation services (percent),2017,%,99
202,7,Canada,7.328,19811.1,Canada,Percentage of population using at least basic sanitation services (percent),2018,%,99
203,7,Canada,7.328,19811.1,Canada,Percentage of population using at least basic sanitation services (percent),2019,%,99
204,7,Canada,7.328,19811.1,Canada,Percentage of population using at least basic sanitation services (percent),2020,%,99
205,7,Canada,7.328,19811.1,Canada,Percentage of children under 5 years of age who are overweight (modelled estimates) (percent),2016,%,11.7
206,7,Canada,7.328,19811.1,Canada,Percentage of children under 5 years of age who are overweight (modelled estimates) (percent),2017,%,11.7
207,7,Canada,7.328,19811.1,Canada,Percentage of children under 5 years of age who are overweight (modelled estimates) (percent),2018,%,11.8
208,7,Canada,7.328,19811.1,Canada,Percentage of children under 5 years of age who are overweight (modelled estimates) (percent),2019,%,11.8
209,7,Canada,7.328,19811.1,Canada,Percentage of children under 5 years of age who are overweight (modelled estimates) (percent),2020,%,11.8
210,7,Canada,7.328,19811.1,Canada,Prevalence of obesity in the adult population (18 years and older),2016,%,29.4
211,7,Canada,7.328,19811.1,Canada,Prevalence of anemia among women of reproductive age (15-49 years),2016,%,9.5
212,7,Canada,7.328,19811.1,Canada,Prevalence of anemia among women of reproductive age (15-49 years),2017,%,9.7
213,7,Canada,7.328,19811.1,Canada,Prevalence of anemia among women of reproductive age (15-49 years),2018,%,10
214,7,Canada,7.328,19811.1,Canada,Prevalence of anemia among women of reproductive age (15-49 years),2019,%,10.4
215,7,Canada,7.328,19811.1,Canada,Minimum dietary energy requirement  (kcal/cap/day),2016,kcal/capita/day,1923
216,7,Canada,7.328,19811.1,Canada,Minimum dietary energy requirement  (kcal/cap/day),2017,kcal/capita/day,1921
217,7,Canada,7.328,19811.1,Canada,Minimum dietary energy requirement  (kcal/cap/day),2018,kcal/capita/day,1920
218,7,Canada,7.328,19811.1,Canada,Minimum dietary energy requirement  (kcal/cap/day),2019,kcal/capita/day,1918
219,7,Canada,7.328,19811.1,Canada,Minimum dietary energy requirement  (kcal/cap/day),2020,kcal/capita/day,1917
220,7,Canada,7.328,19811.1,Canada,Average dietary energy requirement (kcal/cap/day),2016,kcal/capita/day,2505
221,7,Canada,7.328,19811.1,Canada,Average dietary energy requirement (kcal/cap/day),2017,kcal/capita/day,2504
222,7,Canada,7.328,19811.1,Canada,Average dietary energy requirement (kcal/cap/day),2018,kcal/capita/day,2502
223,7,Canada,7.328,19811.1,Canada,Average dietary energy requirement (kcal/cap/day),2019,kcal/capita/day,2500
224,7,Canada,7.328,19811.1,Canada,Average dietary energy requirement (kcal/cap/day),2020,kcal/capita/day,2499
225,7,Canada,7.328,19811.1,Canada,Coefficient of variation of habitual caloric consumption distribution (real number),2016,Number,0.2
226,7,Canada,7.328,19811.1,Canada,Coefficient of variation of habitual caloric consumption distribution (real number),2017,Number,0.2
227,7,Canada,7.328,19811.1,Canada,Coefficient of variation of habitual caloric consumption distribution (real number),2018,Number,0.2
228,7,Canada,7.328,19811.1,Canada,Coefficient of variation of habitual caloric consumption distribution (real number),2019,Number,0.2
229,7,Canada,7.328,19811.1,Canada,Coefficient of variation of habitual caloric consumption distribution (real number),2020,Number,0.2
230,7,Canada,7.328,19811.1,Canada,Incidence of caloric losses at retail distribution level (percent),2016,%,2.09
231,7,Canada,7.328,19811.1,Canada,Incidence of caloric losses at retail distribution level (percent),2017,%,2.09
232,7,Canada,7.328,19811.1,Canada,Incidence of caloric losses at retail distribution level (percent),2018,%,2.09
233,7,Canada,7.328,19811.1,Canada,Incidence of caloric losses at retail distribution level (percent),2019,%,2.09
234,7,Canada,7.328,19811.1,Canada,Incidence of caloric losses at retail distribution level (percent),2020,%,2.09
235,7,Canada,7.328,19811.1,Canada,Average fat supply (g/cap/day) (3-year average),2015-2017,g/capita/day,157.3
236,7,Canada,7.328,19811.1,Canada,Average fat supply (g/cap/day) (3-year average),2016-2018,g/capita/day,159
237,8,New Zealand,7.324,20932.5,New Zealand,Average dietary energy supply adequacy (percent) (3-year average),2015-2017,%,127
